,columns,missing values count
0,Sensor - 1,5
1,Sensor - 2,15
2,Sensor - 3,65
3,Sensor - 4,65
4,Sensor - 5,65
5,Sensor - 6,65
6,Sensor - 7,65
7,Sensor - 8,40
8,Sensor - 9,10
9,Sensor - 10,10
10,Sensor - 11,10
11,Sensor - 12,10
12,Sensor - 13,10
13,Sensor - 14,15
14,Sensor - 15,15
15,Sensor - 16,15
16,Sensor - 17,15
17,Sensor - 18,15
18,Sensor - 19,15
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,5
22,Sensor - 23,5
23,Sensor - 24,5
24,Sensor - 25,5
25,Sensor - 26,5
26,Sensor - 27,5
27,Sensor - 28,5
28,Sensor - 29,5
29,Sensor - 30,5
30,Sensor - 31,5
31,Sensor - 32,5
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,70
41,Sensor - 42,70
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,5
54,Sensor - 55,5
55,Sensor - 56,5
56,Sensor - 57,5
57,Sensor - 58,5
58,Sensor - 59,5
59,Sensor - 60,25
60,Sensor - 61,25
61,Sensor - 62,25
62,Sensor - 63,25
63,Sensor - 64,25
64,Sensor - 65,25
65,Sensor - 66,25
66,Sensor - 67,25
67,Sensor - 68,25
68,Sensor - 69,25
69,Sensor - 70,25
70,Sensor - 71,25
71,Sensor - 72,25
72,Sensor - 73,2650
73,Sensor - 74,2650
74,Sensor - 75,25
75,Sensor - 76,120
76,Sensor - 77,120
77,Sensor - 78,120
78,Sensor - 79,120
79,Sensor - 80,120
80,Sensor - 81,120
81,Sensor - 82,120
82,Sensor - 83,120
83,Sensor - 84,5
84,Sensor - 85,10
85,Sensor - 86,3055
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,255
90,Sensor - 91,255
91,Sensor - 92,25
92,Sensor - 93,10
93,Sensor - 94,10
94,Sensor - 95,25
95,Sensor - 96,25
96,Sensor - 97,25
97,Sensor - 98,25
98,Sensor - 99,25
99,Sensor - 100,25
100,Sensor - 101,25
101,Sensor - 102,25
102,Sensor - 103,25
103,Sensor - 104,10
104,Sensor - 105,10
105,Sensor - 106,25
106,Sensor - 107,25
107,Sensor - 108,25
108,Sensor - 109,25
109,Sensor - 110,1440
110,Sensor - 111,1440
111,Sensor - 112,1440
112,Sensor - 113,2785
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,120
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,15
122,Sensor - 123,15
123,Sensor - 124,15
124,Sensor - 125,15
125,Sensor - 126,15
126,Sensor - 127,15
127,Sensor - 128,15
128,Sensor - 129,15
129,Sensor - 130,15
130,Sensor - 131,15
131,Sensor - 132,15
132,Sensor - 133,15
133,Sensor - 134,15
134,Sensor - 135,15
135,Sensor - 136,0
136,Sensor - 137,5
137,Sensor - 138,15
138,Sensor - 139,65
139,Sensor - 140,65
140,Sensor - 141,65
141,Sensor - 142,65
142,Sensor - 143,65
143,Sensor - 144,40
144,Sensor - 145,10
145,Sensor - 146,10
146,Sensor - 147,10
147,Sensor - 148,10
148,Sensor - 149,10
149,Sensor - 150,15
150,Sensor - 151,15
151,Sensor - 152,15
152,Sensor - 153,15
153,Sensor - 154,15
154,Sensor - 155,15
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,3855
158,Sensor - 159,3855
159,Sensor - 160,5
160,Sensor - 161,5
161,Sensor - 162,5
162,Sensor - 163,5
163,Sensor - 164,5
164,Sensor - 165,5
165,Sensor - 166,5
166,Sensor - 167,5
167,Sensor - 168,5
168,Sensor - 169,5
169,Sensor - 170,5
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,70
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,5
191,Sensor - 192,5
192,Sensor - 193,5
193,Sensor - 194,5
194,Sensor - 195,5
195,Sensor - 196,5
196,Sensor - 197,25
197,Sensor - 198,25
198,Sensor - 199,25
199,Sensor - 200,25
200,Sensor - 201,25
201,Sensor - 202,25
202,Sensor - 203,25
203,Sensor - 204,25
204,Sensor - 205,25
205,Sensor - 206,25
206,Sensor - 207,25
207,Sensor - 208,25
208,Sensor - 209,25
209,Sensor - 210,25
210,Sensor - 211,120
